"title","length","budget","rating","mpaa"
"She's So Lovely",100,18000000,5.7,"R"
"She's the One",96,3500000,6,"R"
"She-Creature, The",77,100000,3.1,"Missing"
"Sheena",117,25000000,4,"Missing"
"Shelter",80,125000,4.6,"Missing"
"Shelter Island",82,5000000,3.9,"R"
"Shichinin no samurai",206,500000,8.9,"Missing"
"Shine",105,5500000,7.6,"PG-13"
"Shining, The",146,19000000,8.3,"Missing"
"Shipping News, The",111,35000000,6.9,"R"
"Shock",70,375000,6.4,"Missing"
"Shock Act",19,50000,9.1,"Missing"
"Shock Treatment",94,3500000,4.5,"Missing"
"Shock Waves",90,200000,5.4,"Missing"
"Shock, The",96,90220,7,"Missing"
"Shooter",24,25000,7,"Missing"
"Shooting Fish",103,3000000,6.6,"PG"
"Shopping for Fangs",90,100000,7.6,"R"
"Short Cut to Nirvana: Kumbh Mela",85,200000,8.6,"Missing"
"Shot at Glory, A",114,9000000,6.3,"R"
"Shotgun Wedding",24,2000,9.1,"Missing"
"Shottas",95,200000,6.4,"Missing"
"Show Boat",107,2295429,7,"Missing"
"Showboy",93,300000,4.5,"Missing"
"Showgirls",131,45000000,3.8,"NC-17"
"Showtime",96,85000000,5.5,"PG-13"
"Shrek",90,60000000,8,"PG"
"Shrek 2",92,75000000,7.8,"PG"
"Shrink Is In, The",87,6000000,4.9,"R"
"Shtei Etzbaot Mi'Tzidon",91,80000,8.5,"Missing"
"Shutter",24,15000,3.5,"R"
"Sibirskiy tsiryulnik",275,35000000,7.1,"Missing"
"Sid and Nancy",110,4000000,7,"Missing"
"Sidewalks of New York",108,1000000,6.5,"R"
"Sideways",123,16000000,8,"R"
"Siege, The",116,70000000,5.9,"R"
"Sign of the Pagan",92,1300000,5.7,"Missing"
"Signs",108,72000000,7.1,"PG-13"
"Silence of the Lambs, The",118,19000000,8.5,"Missing"
"Silencio",30,10000,9.6,"Missing"
"Silent Amy",41,7000,8.4,"Missing"
"Silent Cry",85,4500000,3.7,"Missing"
"Silent Movie",87,4400000,6.3,"Missing"
"Silent Night, Deadly Night",85,750000,4.4,"Missing"
"Silent Night, Deadly Night Part 2",88,250000,2.3,"Missing"
"Silent Trigger",90,15000000,4.7,"R"
"Silenzio dei prosciutti, Il",81,3000000,3.4,"Missing"
"Silk Stockings",117,1853463,6.9,"Missing"
"Silmido",135,8000000,7.1,"Missing"
"Silver Bullet",95,7000000,5.6,"Missing"
"Silver Chalice, The",142,4500000,4.1,"Missing"
"Silverado",127,26000000,7,"Missing"
"Simon Birch",113,20000000,6.8,"PG"
"Simon: An English Legionnaire",90,3500000,5.7,"Missing"
"Simple Plan, A",121,17000000,7.6,"R"
"Simple Wish, A",89,28000000,5,"PG"
"Simply Irresistible",94,6000000,4.7,"PG-13"
"Sin City",124,45500000,8.3,"R"
"Sin of Harold Diddlebock, The",89,1712959,6.2,"Missing"
"Sinbad: Legend of the Seven Seas",86,60000000,6.5,"PG"
"Since You Went Away",172,2400000,7.6,"Missing"
"Sindrome di Stendhal, La",113,3800000,5.8,"Missing"
"Sinful Davey",95,3000000,5.6,"Missing"
"Singin' in the Rain",103,2540800,8.5,"Missing"
"Singing Detective, The",109,10000000,5.3,"R"
"Single Standard, The",73,336000,6.6,"Missing"
"Single and Dealing with It",86,175000,5,"Missing"
"Singles Ward, The",102,500000,5.7,"PG"
"Sinnui yauman",92,5600000,7.4,"Missing"
"Sins of Jezebel",74,100000,5,"Missing"
"Sins of the Fleshapoids",40,1000,7.9,"Missing"
"Sirota kazanskaya",82,800000,7,"Missing"
"Sista vals, En",14,35000,5.1,"Missing"
"Sisters",92,500000,6.8,"Missing"
"Sit and Spin",20,50000,8.7,"Missing"
"Siunin Wong Fei-hung tsi titmalau",90,2000000,7.4,"PG-13"
"Six Days Seven Nights",101,70000000,5.6,"Missing"
"Six Figures Getting Sick",4,0,6.3,"Missing"
"Six-String Samurai",91,2000000,6.2,"PG-13"
"Sixteen Candles",93,6500000,6.9,"Missing"
"Sixth Sense, The",107,55000000,8.2,"PG-13"
"Sjunde inseglet, Det",92,150000,8.4,"Missing"
"Skeleton Dance, The",6,5386,8.6,"Missing"
"Skeletons",87,2200000,5.3,"Missing"
"Skeletons in the Closet",86,1500000,5.4,"R"
"Skin Deep",89,400000,3.8,"R"
"Skullduggery",105,4500000,4,"Missing"
"Skulls, The",106,15000000,5.3,"PG-13"
"Sky Bandits",95,18000000,3.8,"Missing"
"Sky Captain and the World of Tomorrow",106,40000000,6.5,"PG"
"Slacker",97,23000,6.7,"Missing"
"Slackers",86,11000000,4.7,"R"
"Slam",100,1000000,7.1,"R"
"Slap Her... She's French",92,10000000,4.7,"PG-13"
"Slashers",97,165000,5.2,"R"
"Slaughter Rule, The",112,500000,6,"R"
"Sledgehammer",87,40000,3.7,"Missing"
"Sleepaway Camp",84,350000,5.3,"Missing"
"Sleeper",89,2000000,7.4,"Missing"
"Sleepers",147,44000000,7,"R"
"Sleeping Beauty",75,6000000,7.4,"Missing"
"Sleeping Dictionary, The",109,12000000,6.1,"R"
"Sleepless in Seattle",105,21000000,6.7,"Missing"
"Sleepover",89,10000000,4.1,"PG"
"Sleepwalk",98,100000,5.7,"Missing"
"Sleepwalker",2,15000,1.5,"Missing"
"Sleepy Hollow",105,65000000,7.4,"R"
"Slog Movie, The",59,5000,8,"Missing"
"Slumber Party Massacre, The",77,250000,4.4,"Missing"
"Slums of Beverly Hills",92,5000000,6.4,"R"
"Small Soldiers",110,40000000,5.8,"PG-13"
"Small Time Crooks",94,18000000,6.5,"PG"
"Smile Like Yours, A",98,18000000,4.5,"R"
"Smilla's Sense of Snow",120,35000000,6.3,"R"
"Smoke",112,7000000,7.4,"R"
"Smoke Signals",88,2000000,7.2,"PG-13"
"Smokin' Stogies",98,280000,4.6,"Missing"
"Snackers",10,13000,7,"Missing"
"Snake Eyes",98,73000000,5.7,"R"
"Snatch.",102,10000000,7.9,"R"
"Snell Show, The",8,6000,9.2,"Missing"
"Snitch",90,11000000,6.2,"R"
"Snow Day",89,13000000,4.6,"PG"
"Snow Dogs",99,35000000,5.1,"PG"
"Snow Falling on Cedars",127,36000000,6.7,"PG-13"
"Snow White and the Seven Dwarfs",83,1488000,7.8,"Missing"
"Snow White and the Three Stooges",107,3500000,4.1,"Missing"
"So Ends Our Night",122,401000,7.2,"Missing"
"Social Intercourse",90,15000,4.8,"Missing"
"Soft for Digging",74,6000,6.1,"Missing"
"Soho Square",79,7000,4.9,"R"
"Sol Goode",99,3000000,5.4,"R"
"Solar Crisis",112,55000000,3.9,"Missing"
"Solaris",99,47000000,6.3,"PG-13"
"Soldier",98,75000000,5.2,"R"
"Soldier's Leap, The",26,75000,8.3,"Missing"
"Soldier, The",10,3000,9.2,"Missing"
"Soldiers Pay",35,180000,7,"Missing"
"Soliloquy",29,3000,7.2,"Missing"
"Soliloquy",93,89000,9.2,"Missing"
"Solitaire for 2",106,1500000,4.8,"R"
"Solitude",74,5000,8.6,"Missing"
"Solomon Bernstein's Bathroom",20,35000,6.4,"Missing"
"Solomon and Sheba",141,5000000,5.8,"Missing"
"Solstice",48,130000,5.1,"Missing"
"Some Like It Hot",120,2883848,8.4,"Missing"
"Someone Like You...",97,23000000,5.7,"PG-13"
"Something Weird",80,35000,3.1,"Missing"
"Something Wicked This Way Comes",95,19000000,6.5,"Missing"
"Something to Sing About",93,900000,6,"Missing"
"Sometimes They Come Back... Again",98,3000000,2.9,"R"
"Sometimes They Come Back... for More",89,2000000,2.8,"R"
"Somewhere in Time",103,5100000,6.8,"Missing"
"Son",125,2000000,4.2,"Missing"
"Son of Kong, The",70,250000,5.6,"Missing"
"Son of the Mask",94,74000000,1.9,"PG"
"Song Is Born, A",113,2400000,7.2,"Missing"
"Song jia huang chao",145,50000000,6.9,"Missing"
"Song of Bernadette, The",156,2000000,7.7,"Missing"
"Songcatcher",109,1800000,7.2,"PG-13"
"Sons of Provo",93,200000,4.3,"PG"
"Sorcerer",93,22000000,7.1,"Missing"
"Sorority Babes in the Slimeball Bowl-O-Rama",80,90000,4,"Missing"
"Sorority Boys",93,12000000,5.1,"R"
"Sorority House Vampires",86,50000,1.8,"Missing"
"Sorte Nula",85,150000,7.3,"Missing"
"Soul Assassin",96,7000000,4,"R"
"Soul Food",114,7500000,6.5,"R"
"Soul Plane",92,16000000,3.2,"R"
"Soul Survivors",84,14000000,3.6,"R"
"Sound of Music, The",174,8200000,7.8,"Missing"
"South Beach",93,800000,3.4,"Missing"
"South Pacific",171,6000000,6.6,"Missing"
"South Park: Bigger Longer & Uncut",81,21000000,7.6,"R"
"Space Available",15,18000,9.2,"Missing"
"Space Between, The",19,12000,4.8,"Missing"
"Space Between, The",60,1500,5.4,"Missing"
"Space Cowboys",130,65000000,6.4,"Missing"
"Space Jam",87,80000000,5.2,"PG"
"Space Truckers",95,25000000,4.5,"PG-13"
"Space-Thing",69,17500,3.5,"Missing"
"Spaceballs",96,22700000,6.7,"Missing"
"Spaced Invaders",100,3000000,4.5,"Missing"
"Spacehunter: Adventures in the Forbidden Zone",90,14400000,4.2,"Missing"
"Spaceman",88,50000,4.7,"Missing"
"Spandex: A Father's Tale",21,30000,9.4,"Missing"
"Spanglish",130,80000000,6.7,"PG-13"
"Spanish Judges",98,3500000,4.8,"R"
"Spanking the Monkey",100,200000,6.5,"Missing"
"Sparrows",84,463455,7.4,"Missing"
"Spartacus",198,12000000,8,"Missing"
"Spawn",98,40000000,4.6,"PG-13"
"Spawn of the Slithis",86,100000,2.5,"Missing"
"Specialist, The",110,45000000,4.7,"Missing"
"Species",108,35000000,5.4,"R"
"Speed",116,28000000,7.1,"R"
"Speed 2: Cruise Control",121,110000000,3.3,"PG-13"
"Speedway",94,1500000,4.6,"Missing"
"Speedway Junky",105,1000000,5.3,"R"
"Spellbound",111,1696377,7.6,"Missing"
"Spelling Bee",13,20000,8.3,"Missing"
"Sphere",134,80000000,5.3,"PG-13"
"Sphinx",118,14000000,4.5,"Missing"
"Spice World",93,25000000,3,"PG"
"Spider",94,8000000,6.8,"R"
"Spider Baby, or The Maddest Story Ever Told",81,65000,6.7,"Missing"
"Spider-Man",121,139000000,7.4,"PG-13"
"Spider-Man 2",127,200000000,7.9,"PG-13"
"Spiders",95,2000000,3.2,"R"
"Spies Like Us",102,22000000,5.7,"Missing"
"Spin Cycle, The",9,5300,8.8,"Missing"
"Spinal Tap: The Final Tour",20,50000,6.6,"Missing"
"Spirit of America, The",3,60000,6,"Missing"
"Spirit of St. Louis, The",135,6000000,7.1,"Missing"
"Spirit: Stallion of the Cimarron",86,80000000,6.4,"Missing"
"Spirithunter, The",115,100000,8.3,"Missing"
"Spitfire Grill, The",117,6000000,6.7,"Missing"
"Splash",111,8000000,6.3,"Missing"
"Split Second",90,7000000,5.3,"Missing"
"SpongeBob SquarePants Movie, The",90,30000000,6.5,"PG"
"Spook",93,1000000,8.3,"Missing"
"Spotless",90,250000,3.9,"Missing"
"Spring Fever",100,4300000,4.3,"Missing"
"Spring Forward",110,2000000,7.1,"R"
"Spudmonkey",88,1100000,7.8,"Missing"
"Spun",106,2800000,6.2,"R"
"Spy Game",126,92000000,7,"R"
"Spy Hard",81,18000000,4.5,"PG-13"
"Spy Kids",88,35000000,6.2,"Missing"
"Spy Kids 2: Island of Lost Dreams",99,39000000,5.8,"PG"
"Spy Kids 3-D: Game Over",84,39000000,4.7,"PG"
"Spy Who Loved Me, The",123,14000000,6.9,"Missing"
"Squaw Man, The",72,15450,6.3,"Missing"
"Squeeze",102,155000,4.9,"Missing"
"St. Louis Kid, The",67,80000,6.4,"Missing"
"St. Valentine's Day Massacre, The",100,1000000,6.1,"Missing"
"Stacey",81,100000,5.6,"Missing"
"Stag",91,3000000,5.5,"Missing"
"Stage Door",92,952000,7.6,"Missing"
"Stagecoach",96,531300,8,"Missing"
"Stakeout on Dope Street",89,35000,7,"Missing"
"Stalag 17",116,1315000,8.2,"Missing"
"Stand by Me",89,8000000,8,"Missing"
"Stand-In, The",100,400000,5.6,"PG"
"Standalone",108,245000,7.3,"Missing"
"Standing by Yourself",65,1000,9.1,"Missing"
"Stanley",108,125000,3.9,"Missing"
"Stanley and Livingstone",101,2000000,7.2,"Missing"
"Star Is Born, A",111,1173639,7.5,"Missing"
"Star Is Born, A",176,5019770,7.7,"Missing"
"Star Is Born, A",139,6000000,5,"Missing"
"Star Kid",101,12000000,5,"PG"
"Star Trek III: The Search for Spock",105,17000000,6.2,"Missing"
"Star Trek IV: The Voyage Home",136,25000000,7.1,"Missing"
"Star Trek V: The Final Frontier",107,27800000,4.8,"Missing"
"Star Trek VI: The Undiscovered Country",113,30000000,6.9,"Missing"
"Star Trek the Experience: The Klingon Encounter",4,70000000,7,"Missing"
"Star Trek: First Contact",106,45000000,7.3,"PG-13"
"Star Trek: Generations",118,35000000,6.2,"Missing"
"Star Trek: Insurrection",103,58000000,6.3,"PG"
"Star Trek: Nemesis",116,70000000,6.5,"PG-13"
"Star Trek: The Motion Picture",143,35000000,5.8,"PG"
"Star Trek: The Wrath of Khan",116,11000000,7.6,"PG"
"Star Wars",125,11000000,8.8,"PG"
"Star Wars: Episode I - The Phantom Menace",133,115000000,6.4,"PG"
"Star Wars: Episode II - Attack of the Clones",120,120000000,7,"PG"
"Star Wars: Episode V - The Empire Strikes Back",129,18000000,8.8,"PG"
"Star Wars: Episode VI - Return of the Jedi",135,32500000,8.1,"PG"
"Star of Midnight",90,280000,7,"Missing"
"Star!",120,14000000,6,"Missing"
"Star-Crossed",105,2500,8.4,"Missing"
"Stardust Memories",91,10000000,6.8,"Missing"
"Stargate",130,55000000,6.4,"Missing"
"Stark Raving Mad",102,5000000,6.2,"R"
"Starkweather",92,1000000,4.6,"R"
"Starman",115,24000000,6.8,"Missing"
"Starship Troopers",129,95000000,6.7,"R"
"Starsky & Hutch",101,60000000,6.3,"PG-13"
"State Fair",118,4500000,5.5,"Missing"
"State of the Union",124,2600000,7.2,"Missing"
"State's Evidence",89,400000,7,"Missing"
"Statement, The",120,23000000,6.1,"R"
"Stateside",97,16000000,5.4,"R"
"Station Agent, The",88,500000,8.1,"R"
"Stationery Games",28,2500,6.1,"Missing"
"Statski sovetnik",208,4000000,7,"Missing"
"Steagle, The",87,1850000,4.2,"Missing"
"Steaks, The",107,1000,8.7,"Missing"
"Steal Big Steal Little",135,35000000,4.6,"PG-13"
"Stealing Harvard",82,25000000,4.7,"PG-13"
"Steam Cloud Rising",100,25000,6.4,"Missing"
"Steamboat Willie",8,4986,7.6,"Missing"
"Steamboy",126,20000000,6.6,"PG-13"
"Steaming",102,3000000,5,"Missing"
"Steel",97,16000000,2.6,"PG-13"
"Steel Helmet, The",85,103000,7.6,"Missing"
"Steel Legends: Railroads of the Northeast",60,17500,8.5,"Missing"
"Steel Spirit",90,20000,6,"Missing"
"Stella Dallas",110,700000,7.6,"Missing"
"Stepford Wives, The",93,90000000,5.3,"PG-13"
"Stepmom",124,50000000,6.1,"PG-13"
"Stereo",65,3500,4.7,"Missing"
"Steven Spielberg's Movie",25,11000,1.7,"Missing"
"Sticky Fingers of Time, The",90,250000,5.5,"Missing"
"Stigmata",103,32000000,6,"R"
"Still Lover",5,1000,7.7,"Missing"
"Sting, The",129,5500000,8.4,"Missing"
"Stir of Echoes",99,13000000,7,"R"
"Stolen Summer",91,1500000,6.2,"PG"
"Story of Alexander Graham Bell, The",98,1500000,7.2,"Missing"
"Story of Dr. Wassell, The",140,2720000,6.7,"Missing"
"Story of Us, The",95,50000000,5.6,"R"
"Story of Vernon and Irene Castle, The",93,1196000,6.7,"Missing"
"Story of a Three-Day Pass, The",87,100000,4.7,"Missing"
"Story of the Kelly Gang, The",70,2250,6,"Missing"
"Straight Out of Brooklyn",79,450000,5.4,"Missing"
"Straight Story, The",112,10000000,8.1,"Missing"
"Straight to Hell",86,1000000,4.9,"Missing"
"Strange Days",145,42000000,6.9,"R"
"Strange Interlude",109,408000,5.8,"Missing"
"Strangeland",92,2000000,4.4,"R"
"Stranger Than Paradise",89,90000,7.4,"Missing"
"Stranger on the Third Floor",64,171200,6.9,"Missing"
"Strangers",9,1000,9.7,"Missing"
"Strangers on a Train",103,1200000,8.3,"PG"
"Straw Dogs",113,3251794,7.4,"Missing"
"Street Pirates",94,650000,8.2,"Missing"
"Street Scene",80,584000,7.9,"Missing"
"Streetcar Named Desire, A",125,1800000,8.1,"Missing"
"Streets of Fire",93,14500000,6.2,"Missing"
"Strike Up the Band",120,838661,6.7,"Missing"
"Stripes",106,10000000,6.8,"R"
"Striporama",70,40000,7.7,"Missing"
"Striptease",117,50000000,3.8,"R"
"Stryker's War",84,100000,5.1,"Missing"
"Stuart Little",81,103000000,6,"PG"
"Stuart Little 2",82,120000000,5.9,"PG"
"Student Nurses, The",89,150000,3.4,"Missing"
"Student Prince in Old Heidelberg, The",106,1205000,7.9,"Missing"
"Student of Prague, The",9,8000,8.7,"Missing"
"Stuff, The",93,1700000,4.9,"Missing"
"Stupids, The",94,25000000,3.7,"Missing"
"Sub Down",93,17000000,4.4,"Missing"
"Sub terra",105,1200000,7,"Missing"
"Submarine",93,150000,6.7,"Missing"
"Subterraneans, The",89,931724,4.7,"Missing"
"Suburbia",94,1000000,6.8,"Missing"
"Suddenly, Last Summer",114,3000000,7.5,"Missing"
"Sugar & Spice",84,11000000,5.3,"PG-13"
"Sugar Town",92,250000,5.8,"R"
"Sugarland Express, The",110,3000000,6.7,"Missing"
"Suicide Inc.",10,8000,3.2,"Missing"
"Suicide Kings",106,5000000,7,"R"
"Sullivan's Travels",90,689665,8.2,"Missing"
"Sum of All Fears, The",123,68000000,6.6,"PG-13"
"Sumas y restas",109,1500000,6,"Missing"
"Summer Catch",105,17000000,4.5,"PG-13"
"Summer Holiday",93,2258325,5.7,"Missing"
"Summer Solstice",111,300000,2,"Missing"
"Summer Sonata, A",30,2000,10,"Missing"
"Summer of Sam",142,22000000,6.5,"R"
"Summer's Gone",96,15000,6,"Missing"
"Sunday",94,450000,7.1,"Missing"
"Sunday Morning Stripper, The",24,22000,7.9,"Missing"
"Sunset Blvd.",115,1752000,8.6,"Missing"
"Sunshine Deli and Grocery, The",93,300000,8.3,"Missing"
"Sunshine State",141,5600000,7,"PG-13"
"Super Mario Bros.",104,42000000,3.6,"Missing"
"Super Size Me",100,300000,7.7,"PG-13"
"Super Troopers",100,3000000,6.3,"R"
"Superbeast",90,275000,1.5,"Missing"
"Supergirl",150,35000000,3.9,"Missing"
"Superman",10,100000,7.5,"Missing"
"Superman",151,55000000,7.1,"PG"
"Superman II",127,54000000,6.5,"Missing"
"Superstar",81,14000000,4.5,"PG-13"
"Superstarlet A.D.",70,16000,5.4,"Missing"
"Supervixens",99,250000,5.8,"Missing"
"Surface Calm",18,15000,5.1,"Missing"
"Surviving Picasso",125,16000000,6.1,"R"
"Susan Lenox (Her Fall and Rise)",76,580000,6.2,"Missing"
"Suspect Zero",99,27000000,5.7,"R"
"Suspended Animation",114,1900000,5.2,"Missing"
"Sutter's Gold",94,2000000,5.9,"Missing"
"Suzy",93,614000,6.2,"Missing"
"Svoi",111,2500000,8.4,"Missing"
"Swamp Thing",91,3000000,5,"Missing"
"Swarm, The",156,21000000,3.8,"Missing"
"Sweepers",93,12500000,3.9,"R"
"Sweet Angel Mine",88,5000000,5.3,"Missing"
"Sweet Charity",154,20000000,6.8,"Missing"
"Sweet Hideaway",96,350000,1.9,"Missing"
"Sweet Home Alabama",108,38000000,5.8,"PG-13"
"Sweet November",115,40000000,5.5,"PG-13"
"Sweet Sweetback's Baad Asssss Song",97,150000,5.3,"Missing"
"Sweetest Thing, The",90,43000000,4.7,"R"
"Swept Away",89,10000000,3.8,"R"
"Swimfan",85,8500000,4.5,"PG-13"
"Swimming with Sharks",101,700000,7.1,"R"
"Swing Time",103,886000,7.7,"Missing"
"Swingers",96,200000,7.6,"R"
"Swinging Cheerleaders, The",91,150000,4.2,"Missing"
"Swiri",125,5000000,6.6,"R"
"Switchback",118,38000000,6.1,"R"
"Switchblade Sisters",91,320000,5.7,"Missing"
"Swoon",80,250000,7,"Missing"
"Swordfish",99,80000000,6.2,"R"
"Swordswallowers and Thin Men",105,2500,8.2,"Missing"
"Sylvia Scarlett",95,1000000,6,"Missing"
"Symphony of Six Million",94,270000,6.3,"Missing"
"Sztuka spadania",5,100000,7.6,"Missing"
"T2 3-D: Battle Across Time",12,60000000,7.2,"Missing"
"THX 1138",88,777000,6.5,"R"
"Tabu",84,150000,7.8,"Missing"
"Tadpole",78,150000,6.3,"PG-13"
"Taegukgi hwinalrimyeo",140,12800000,8.5,"R"
"Tai yang zhi zi",84,35000000,4.8,"Missing"
"Tailor of Panama, The",109,18000000,6.1,"R"
"Take Me Out to the Ball Game",93,1725970,6.8,"Missing"
"Take Me Somewhere Nice",17,8000,8.8,"Missing"
"Take a Giant Step",100,300000,5.6,"Missing"
"Take the Money and Run",85,1500000,7.3,"Missing"
"Tale of the Mummy",119,8000000,3.7,"R"
"Talented Mr. Ripley, The",139,40000000,7,"R"
"Tales from the Hood",98,6000000,5.1,"R"
"Talk Radio",110,4000000,6.9,"Missing"
"Talk to Taka",12,100000,3.7,"Missing"
"Tall Tale",98,32000000,4.8,"Missing"
"Taming of the Shrew, The",63,504000,6.2,"Missing"
"Taming of the Shrew, The",122,4000000,6.9,"Missing"
"Tang shan da xiong",115,100000,6.3,"Missing"
"Tango & Cash",104,55000000,5.4,"Missing"
"Tank Girl",104,25000000,4.6,"R"
"Taras Bulba",124,7000000,6,"Missing"
"Target Earth",75,85000,5.8,"Missing"
"Targets",90,130000,7.4,"R"
"Tarnation",88,0,7.7,"Missing"
"Tart",94,3300000,4.6,"R"
"Tarzan",88,150000000,7.1,"Missing"
"Tarzan and His Mate",104,1279000,7.4,"Missing"
"Tarzan and the Lost City",83,20000000,3.6,"PG"
"Tarzan and the Mermaids",68,1000000,5.5,"Missing"
"Taste of Blood, A",117,65000,2.4,"Missing"
"Tattooed Stranger, The",64,124000,6.5,"Missing"
"Taxi Driver",110,1300000,8.5,"Missing"
"Taxman, The",104,1000000,5.7,"R"
"Tea with Mussolini",117,12000000,6.7,"PG"
"Tea with Tiffany",6,10000,9.5,"Missing"
"Teacher's Pet",74,10000000,5.6,"PG"
"Teaching Mrs. Tingle",96,13000000,5,"PG-13"
"Team America: World Police",98,30000000,7.3,"R"
"Tears of the Sun",121,70000000,6.2,"R"
"Ted Bundy",99,1200000,5.2,"R"
"Teen Wolf Too",95,3000000,2.7,"Missing"
"Teenage Cave Man",65,70000,3.1,"Missing"
"Teenage Monster",65,57000,3.3,"Missing"
"Teenage Mutant Ninja Turtles",93,13500000,5.5,"Missing"
"Teenage Mutant Ninja Turtles II: The Secret of the Ooze",88,25000000,4.6,"Missing"
"Teenage Thunder",78,46000,4.5,"Missing"
"Tehran 7:00 a.m.",85,500000,6.9,"Missing"
"Tell Me That You Love Me",91,1000000,3.4,"Missing"
"Tell Them Johnny Wadd Is Here",74,12000,4.6,"Missing"
"Telling Lies in America",101,4000000,6.4,"Missing"
"Temp, The",99,15000000,4.9,"Missing"
"Temporary Girl",90,250000,7.5,"Missing"
"Temptress, The",106,669000,7.3,"Missing"
"Ten Commandments, The",146,1800000,7.5,"Missing"
"Ten Commandments, The",220,13500000,7.7,"Missing"
"Ten to Chi to",215,42000000,6.4,"Missing"
"Tentacoli",102,750000,2.8,"Missing"
"Terminal Choice",93,3900000,5.1,"Missing"
"Terminal USA",54,365000,6.9,"Missing"
"Terminal, The",128,60000000,7.1,"PG-13"
"Terminator 2: Judgment Day",154,100000000,8.2,"R"
"Terminator 3: Rise of the Machines",109,175000000,6.9,"R"
"Terminator, The",108,6400000,7.9,"Missing"
"Terrible Truth, The",10,1000,3.7,"Missing"
"Terror Tract",96,11000000,5.6,"R"
"Terror Train",97,3500000,5.2,"Missing"
"Terror in a Texas Town",81,80000,6.7,"Missing"
"Terror of Tiny Town, The",62,100000,3,"Missing"
"Terrorists",72,80000,9.4,"Missing"
"Tess of the Storm Country",137,400000,7.8,"Missing"
"Testament of Tom Jacoby, The",7,3000,9.4,"Missing"
"Tevya",93,70000,6.4,"Missing"
"Texas Chain Saw Massacre, The",75,140000,7,"Missing"
"Texas Chainsaw Massacre 2, The",111,4700000,4.6,"Missing"
"Texas Chainsaw Massacre, The",98,9200000,5.9,"R"
"Texas Rangers",86,38000000,5.1,"PG-13"
"Thank God He Met Lizzie",91,2500000,5.9,"Missing"
"Thank God It's Friday",89,2200000,3.5,"Missing"
"Thanksgiving",12,150000,7.9,"Missing"
"That 70's Matrix",35,1200,3.9,"Missing"
"That Cold Day in the Park",113,500000,6.2,"Missing"
"That Little Monster",56,30000,6.6,"Missing"
"That Thing You Do!",108,2500000,6.6,"Missing"
"Thaw",14,15000,8.2,"Missing"
"Thelma & Louise",129,16500000,7.3,"Missing"
"Theodore Rex",92,33000000,2.2,"PG"
"Therapy Group",3,1000,6.1,"Missing"
"There Goes My Baby",110,10500000,6.1,"R"
"There's Always Vanilla",91,90000,3.2,"Missing"
"There's Something About Mary",134,23000000,7.2,"R"
"They",89,17000000,4.4,"PG-13"
"They Call Him Sasquatch",100,1000000,6.5,"Missing"
"They Came to Cordura",123,4000000,6.3,"Missing"
"They Died with Their Boots On",140,2200000,7.1,"Missing"
"They Drive by Night",95,500000,7.3,"Missing"
"They Live",93,4000000,6.5,"Missing"
"Thief of Bagdad, The",139,2000000,7.9,"Missing"
"Thief of Hearts",100,9000000,5.1,"Missing"
"Thief, The",31,1000,7.3,"Missing"
"Thieves Like Us",123,800000,7,"Missing"
"Thin Line Between Love and Hate, A",108,8000000,4.4,"R"
"Thin Man Goes Home, The",100,1000000,7.1,"Missing"
"Thin Red Line, The",170,52000000,7.2,"R"
"Thing Called Love, The",116,14000000,6,"Missing"
"Thing, The",109,10000000,7.8,"Missing"
"Things to Do in Denver When You're Dead",115,8000000,6.6,"R"
"Thir13en Ghosts",87,20000000,5.1,"R"
"Thirteen",100,1500000,7.1,"R"
"Thirteen Conversations About One Thing",104,3000000,7.2,"R"
"Thirteen Days",145,80000000,7.4,"PG-13"
"Thirteenth Floor, The",100,16000000,6.4,"R"
"This Divided State",88,10000,5.5,"Missing"
"This Is Elvis",144,5000000,6.2,"Missing"
"This Is Not a Love Story",81,1000000,4.2,"Missing"
"This Island Earth",87,800000,5.4,"Missing"
"This Love of Ours",90,2000000,5.3,"Missing"
"This Property Is Condemned",110,4000000,6.4,"Missing"
"This Space Between Us",98,1290000,4.3,"Missing"
"Thomas Crown Affair, The",102,4300000,6.7,"Missing"
"Thomas Crown Affair, The",113,48000000,6.7,"R"
"Thomas and the Magic Railroad",85,19000000,4.2,"Missing"
"Thoroughly Modern Millie",138,6000000,6.6,"Missing"
"Those Magnificent Men in Their Flying Machines, or How I Flew from London to Paris in 25 hours 11 minutes",138,5600000,6.7,"Missing"
"Three Barbecues: A Blackened Comedy",95,25000,9.8,"Missing"
"Three Bewildered People in the Night",92,5000,5.7,"Missing"
"Three Faces West",79,100000,5.1,"Missing"
"Three Fugitives",92,15000000,5.5,"Missing"
"Three Kings",114,48000000,7.3,"R"
"Three Little Pigs",8,15720,7.9,"Missing"
"Three Smart Girls",84,326000,7.1,"Missing"
"Three Stooges in Orbit, The",90,450000,5.5,"Missing"
"Three on a Meathook",80,20000,3,"Missing"
"Three to Tango",98,20000000,6,"PG-13"
"Thrill Kill Jack in Hale Manor",80,10000,7.7,"Missing"
"Thunder Afloat",95,1000000,6,"Missing"
"Thunder in Guyana",50,150000,9.3,"Missing"
"Thunderball",130,9000000,6.8,"Missing"
"Thunderbirds",95,57000000,4.4,"PG"
"Thunderbolt and Lightfoot",114,4000000,6.8,"Missing"
"Thunderpants",87,7000000,4.2,"Missing"
"Tickle Me",90,1480000,4.4,"Missing"
